"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.889051324E1,6.498019333E1,2.569465500E1,2.229604178E1,3.980000000E1,2.641554356E0,2.119900055E2,1.273582839E0,1.799999952E0,9.699999809E0,3.400000000E1
3.989051324E1,6.498016333E1,2.569460333E1,2.209601919E1,3.960000000E1,2.575155258E0,2.207299957E2,1.277268655E0,1.799999952E0,1.010000038E1,3.300000000E1
4.089051324E1,6.498013333E1,2.569457000E1,2.179599417E1,3.930000000E1,2.553022146E0,2.131100006E2,1.280185353E0,1.799999952E0,1.000000000E1,3.300000000E1
4.189051324E1,6.498011000E1,2.569454167E1,2.159597503E1,3.910000000E1,2.621480227E0,2.096499939E2,1.283216697E0,1.700000048E0,1.010000038E1,3.200000000E1
4.289051324E1,6.498008667E1,2.569450833E1,2.139595656E1,3.890000000E1,2.632289410E0,2.166799927E2,1.286170026E0,1.600000024E0,1.019999981E1,3.300000000E1
4.389051324E1,6.498006333E1,2.569447833E1,2.159593764E1,3.910000000E1,2.625083447E0,2.143099976E2,1.288485172E0,1.600000024E0,9.899999619E0,3.300000000E1
4.489051324E1,6.498004500E1,2.569445500E1,2.109592275E1,3.860000000E1,2.550448656E0,2.091199951E2,1.290241019E0,1.600000024E0,1.030000019E1,3.300000000E1
4.589051324E1,6.498003000E1,2.569444333E1,2.119590958E1,3.870000000E1,2.445445299E0,2.004700012E2,1.292135251E0,1.700000048E0,1.110000038E1,3.400000000E1
4.689051324E1,6.498001333E1,2.569443500E1,2.109589433E1,3.860000000E1,2.329118013E0,1.958399963E2,1.294967591E0,1.700000048E0,1.060000038E1,3.600000000E1
4.789051324E1,6.497999167E1,2.569440333E1,2.059587727E1,3.810000000E1,2.249336004E0,2.022400055E2,1.297457077E0,1.700000048E0,9.399999619E0,3.600000000E1
4.889051324E1,6.497997000E1,2.569439000E1,2.049585778E1,3.800000000E1,2.167495251E0,1.963899994E2,1.300126321E0,1.600000024E0,9.699999809E0,3.400000000E1
4.989051324E1,6.497994667E1,2.569437667E1,1.989583666E1,3.740000000E1,2.102640390E0,1.973800049E2,1.302913781E0,1.700000048E0,9.500000000E0,3.600000000E1
5.089051324E1,6.497992333E1,2.569435500E1,1.949581664E1,3.700000000E1,2.011019707E0,2.005299988E2,1.304756692E0,1.700000048E0,9.300000191E0,3.500000000E1
5.189051324E1,6.497990833E1,2.569433833E1,1.939580414E1,3.690000000E1,1.897780776E0,1.953600006E2,1.307606408E0,1.700000048E0,9.800000191E0,3.500000000E1
5.289051324E1,6.497988333E1,2.569432500E1,1.939578138E1,3.690000000E1,1.836014152E0,1.836699982E2,1.310021028E0,1.799999952E0,9.500000000E0,3.500000000E1
5.389051324E1,6.497986333E1,2.569430500E1,1.919576441E1,3.670000000E1,1.762923598E0,1.868800049E2,1.312554546E0,1.700000048E0,9.199999809E0,3.500000000E1
5.489051324E1,6.497984167E1,2.569428833E1,1.939574536E1,3.690000000E1,1.797410011E0,1.837899933E2,1.315352043E0,1.700000048E0,9.300000191E0,3.600000000E1
5.589051324E1,6.497981667E1,2.569429500E1,1.939571996E1,3.690000000E1,1.849396944E0,1.694600067E2,1.317766361E0,1.700000048E0,9.500000000E0,3.600000000E1
5.689051324E1,6.497979500E1,2.569429167E1,1.969569915E1,3.720000000E1,1.895207167E0,1.711499939E2,1.320748088E0,1.700000048E0,9.100000381E0,3.600000000E1
5.789051324E1,6.497976833E1,2.569428500E1,1.989567387E1,3.740000000E1,1.955944419E0,1.740399933E2,1.324236088E0,1.799999952E0,9.399999619E0,3.600000000E1
5.889051324E1,6.497973833E1,2.569430667E1,2.039564157E1,3.790000000E1,2.016681671E0,1.670500031E2,1.327043451E0,1.799999952E0,9.699999809E0,3.600000000E1
5.989051324E1,6.497971333E1,2.569431500E1,2.119561594E1,3.870000000E1,2.062491894E0,1.673000031E2,1.330178841E0,1.799999952E0,9.699999809E0,3.500000000E1
6.089051324E1,6.497968667E1,2.569433667E1,2.199558691E1,3.950000000E1,2.089257479E0,1.608800049E2,1.332765158E0,1.799999952E0,9.500000000E0,3.600000000E1
6.189051324E1,6.497966500E1,2.569435667E1,2.299556300E1,4.050000000E1,2.101610899E0,1.546600037E2,1.335499214E0,1.799999952E0,9.500000000E0,3.600000000E1
6.289051324E1,6.497964167E1,2.569437500E1,2.399553768E1,4.150000000E1,2.112934828E0,1.571100006E2,1.338023819E0,1.799999952E0,9.100000381E0,3.600000000E1
6.389051324E1,6.497962333E1,2.569440667E1,2.439551550E1,4.190000000E1,2.129405737E0,1.480700073E2,1.340891803E0,1.700000048E0,8.699999809E0,3.600000000E1
6.489051324E1,6.497959833E1,2.569442167E1,2.489548899E1,4.240000000E1,2.094919443E0,1.600099945E2,1.343883381E0,1.700000048E0,8.800000191E0,3.500000000E1
6.589051324E1,6.497957500E1,2.569445333E1,2.519546190E1,4.270000000E1,2.075874805E0,1.516600037E2,1.346436517E0,1.600000024E0,8.500000000E0,3.700000000E1
6.689051324E1,6.497955500E1,2.569448000E1,2.559543874E1,4.310000000E1,2.078448296E0,1.513200073E2,1.349955504E0,1.600000024E0,8.899999619E0,3.700000000E1
6.789051324E1,6.497952667E1,2.569451333E1,2.599540652E1,4.350000000E1,2.051167965E0,1.510099945E2,1.353665706E0,1.700000048E0,8.899999619E0,3.700000000E1
6.889051324E1,6.497949833E1,2.569455500E1,2.619537320E1,4.370000000E1,2.095434189E0,1.471699982E2,1.357861390E0,1.700000048E0,8.500000000E0,3.600000000E1
6.989151324E1,6.497946333E1,2.569458833E1,2.709533444E1,4.460000000E1,2.182422161E0,1.520800018E2,1.362250863E0,1.700000048E0,8.899999619E0,3.600000000E1
7.089151324E1,6.497943000E1,2.569463833E1,2.729529511E1,4.480000000E1,2.338897705E0,1.512700043E2,1.365787842E0,1.799999952E0,8.800000191E0,3.700000000E1
7.189151324E1,6.497940000E1,2.569466333E1,2.739526236E1,4.490000000E1,2.456254482E0,1.605000000E2,1.369379411E0,2.000000000E0,9.399999619E0,3.700000000E1
7.289151324E1,6.497937167E1,2.569470000E1,2.709522970E1,4.460000000E1,2.625083447E0,1.564700012E2,1.373248226E0,2.099999905E0,1.039999962E1,3.700000000E1
7.389151324E1,6.497934167E1,2.569474167E1,2.669519474E1,4.420000000E1,2.800088882E0,1.453899994E2,1.376639185E0,2.200000048E0,1.100000000E1,3.500000000E1
7.489151324E1,6.497931333E1,2.569476833E1,2.639516340E1,4.390000000E1,2.965829372E0,1.603399963E2,1.380230756E0,2.200000048E0,1.150000000E1,3.600000000E1
7.589151324E1,6.497928500E1,2.569480500E1,2.619513074E1,4.370000000E1,3.107892752E0,1.514199982E2,1.383621716E0,2.200000048E0,1.139999962E1,3.400000000E1
7.689151324E1,6.497925667E1,2.569483167E1,2.559509940E1,4.310000000E1,3.219587564E0,1.564400024E2,1.386538434E0,2.200000048E0,1.119999981E1,3.300000000E1
7.789151324E1,6.497923333E1,2.569486000E1,2.499507274E1,4.250000000E1,3.269000769E0,1.667799988E2,1.390191624E0,2.200000048E0,1.130000019E1,3.300000000E1
7.889151324E1,6.497920333E1,2.569489167E1,2.459503911E1,4.210000000E1,3.269000769E0,1.582700043E2,1.395058219E0,2.200000048E0,1.110000038E1,3.300000000E1
7.989151324E1,6.497916167E1,2.569492333E1,2.529499402E1,4.280000000E1,3.254588604E0,1.623600006E2,1.399347319E0,1.799999952E0,9.000000000E0,3.400000000E1
8.089151324E1,6.497912667E1,2.569496167E1,2.539495459E1,4.290000000E1,3.256647587E0,1.542400055E2,1.403313267E0,1.799999952E0,8.699999809E0,3.400000000E1
8.189151324E1,6.497909333E1,2.569499167E1,2.499491790E1,4.250000000E1,3.351356506E0,1.593899994E2,1.407843864E0,1.799999952E0,9.199999809E0,3.700000000E1
8.289151324E1,6.497905333E1,2.569501000E1,2.519487622E1,4.270000000E1,3.443491697E0,1.676699982E2,1.413329173E0,1.700000048E0,9.100000381E0,3.700000000E1
8.389151324E1,6.497900500E1,2.569503333E1,2.479482570E1,4.230000000E1,3.622100353E0,1.684100037E2,1.419209537E0,1.700000048E0,9.300000191E0,3.700000000E1
8.489151324E1,6.497895333E1,2.569506000E1,2.459477146E1,4.210000000E1,3.820268393E0,1.660099945E2,1.423592116E0,1.799999952E0,8.600000381E0,3.700000000E1
8.589151324E1,6.497891500E1,2.569508167E1,2.389473097E1,4.140000000E1,4.026157379E0,1.702200012E2,1.428108453E0,2.099999905E0,9.399999619E0,3.700000000E1
8.689151324E1,6.497887500E1,2.569509833E1,2.329468951E1,4.080000000E1,4.172338486E0,1.734100037E2,1.433134277E0,2.200000048E0,1.000000000E1,3.600000000E1
8.789151324E1,6.497883000E1,2.569508833E1,2.289464668E1,4.040000000E1,4.357638359E0,1.829100037E2,1.439347672E0,2.200000048E0,1.050000000E1,3.500000000E1
8.889151324E1,6.497877500E1,2.569506500E1,2.219459582E1,3.970000000E1,4.523893833E0,1.898600006E2,1.443372065E0,2.000000000E0,9.500000000E0,3.400000000E1
8.989151324E1,6.497874167E1,2.569503167E1,2.169456754E1,3.920000000E1,4.596984386E0,1.997799988E2,1.447950095E0,1.899999976E0,9.199999809E0,3.500000000E1
9.089151324E1,6.497871167E1,2.569496500E1,2.139454696E1,3.890000000E1,4.608822823E0,2.173999939E2,1.452153002E0,1.899999976E0,9.000000000E0,3.300000000E1
9.189151324E1,6.497868500E1,2.569490167E1,2.129452922E1,3.880000000E1,4.586174965E0,2.317599945E2,1.456582745E0,2.200000048E0,9.800000191E0,3.400000000E1
9.289151324E1,6.497866000E1,2.569482833E1,2.109451444E1,3.860000000E1,4.533158779E0,2.408000031E2,1.461497277E0,2.299999952E0,1.060000038E1,3.400000000E1
9.389151324E1,6.497863333E1,2.569474500E1,2.089449935E1,3.840000000E1,4.417860985E0,2.480800018E2,1.466642479E0,2.400000095E0,1.260000038E1,3.400000000E1
9.489151324E1,6.497861167E1,2.569464833E1,2.089449094E1,3.840000000E1,4.315431118E0,2.505800018E2,1.471444891E0,2.400000095E0,1.269999981E1,3.400000000E1
9.589151324E1,6.497859000E1,2.569456000E1,2.089448143E1,3.840000000E1,4.182117939E0,2.529299927E2,1.476140626E0,2.400000095E0,1.300000000E1,3.400000000E1
9.689151324E1,6.497857500E1,2.569446667E1,2.079447912E1,3.830000000E1,4.081232548E0,2.499600067E2,1.480477886E0,2.400000095E0,1.339999962E1,3.500000000E1
9.789151324E1,6.497856167E1,2.569438000E1,2.069447756E1,3.820000000E1,3.953581333E0,2.511799927E2,1.484854268E0,2.400000095E0,1.400000000E1,3.400000000E1
9.889151324E1,6.497855167E1,2.569429000E1,2.089447972E1,3.840000000E1,3.878432035E0,2.572200012E2,1.490711973E0,2.400000095E0,1.410000038E1,3.600000000E1
9.989151324E1,6.497852833E1,2.569417833E1,2.259447168E1,4.010000000E1,3.858357668E0,2.481900024E2,1.495659371E0,2.000000000E0,1.180000019E1,3.600000000E1
1.008915132E2,6.497852000E1,2.569407500E1,2.209447724E1,3.960000000E1,3.835710049E0,2.542100067E2,1.500035759E0,1.799999952E0,1.080000019E1,3.500000000E1
1.018915132E2,6.497851000E1,2.569398500E1,2.319447940E1,4.070000000E1,3.824900866E0,2.554700012E2,1.504101528E0,1.799999952E0,1.060000038E1,3.500000000E1
1.028915132E2,6.497850333E1,2.569390000E1,2.329448416E1,4.080000000E1,3.817179918E0,2.629500122E2,1.508167298E0,2.000000000E0,1.150000000E1,3.500000000E1
1.038915132E2,6.497849667E1,2.569381500E1,2.349448893E1,4.100000000E1,3.769310951E0,2.597200012E2,1.511459456E0,2.200000048E0,1.260000038E1,3.500000000E1
1.048915132E2,6.497849667E1,2.569374500E1,2.359449823E1,4.110000000E1,3.692102432E0,2.694100037E2,1.515474222E0,2.299999952E0,1.300000000E1,3.500000000E1
1.058915132E2,6.497850000E1,2.569366000E1,2.379451280E1,4.130000000E1,3.686440468E0,2.776199951E2,1.519454054E0,2.299999952E0,1.369999981E1,3.600000000E1
1.068915132E2,6.497851167E1,2.569358000E1,2.409453488E1,4.160000000E1,3.673057795E0,2.882300110E2,1.523802376E0,2.299999952E0,1.460000038E1,3.500000000E1
1.078915132E2,6.497853000E1,2.569349833E1,2.429456372E1,4.180000000E1,3.700852871E0,2.999500122E2,1.527674592E0,2.299999952E0,1.419999981E1,3.600000000E1
1.088915132E2,6.497854833E1,2.569342833E1,2.409459101E1,4.160000000E1,3.706000090E0,2.961099854E2,1.532119411E0,2.299999952E0,1.500000000E1,3.600000000E1
1.098915132E2,6.497857667E1,2.569336167E1,2.419462766E1,4.170000000E1,3.713206053E0,3.085100098E2,1.536136749E0,2.299999952E0,1.460000038E1,3.500000000E1
1.108915132E2,6.497860167E1,2.569330000E1,2.429466037E1,4.180000000E1,3.726074219E0,3.140000000E2,1.540445567E0,2.400000095E0,1.510000038E1,3.500000000E1
1.118915132E2,6.497862667E1,2.569323000E1,2.449469419E1,4.200000000E1,3.762104750E0,3.082399902E2,1.544818282E0,2.400000095E0,1.539999962E1,3.500000000E1
1.128915132E2,6.497865333E1,2.569316167E1,2.479472942E1,4.230000000E1,3.730706692E0,3.113299866E2,1.548709675E0,2.400000095E0,1.569999981E1,3.600000000E1
1.138915132E2,6.497867667E1,2.569310000E1,2.489476050E1,4.240000000E1,3.751810312E0,3.141300049E2,1.553643364E0,2.400000095E0,1.589999962E1,3.500000000E1
1.148915132E2,6.497870167E1,2.569301333E1,2.519479653E1,4.270000000E1,3.797105789E0,3.052300110E2,1.558134403E0,2.400000095E0,1.500000000E1,3.700000000E1
1.158915132E2,6.497872667E1,2.569293833E1,2.599483101E1,4.350000000E1,3.740486383E0,3.103599854E2,1.562073457E0,2.299999952E0,1.410000038E1,3.700000000E1
1.168915132E2,6.497874500E1,2.569286667E1,2.609485851E1,4.360000000E1,3.767766714E0,3.028800049E2,1.565783265E0,2.400000095E0,1.450000000E1,3.700000000E1
1.178915132E2,6.497876167E1,2.569279833E1,2.579488393E1,4.330000000E1,3.767766714E0,2.949200134E2,1.569698542E0,2.299999952E0,1.419999981E1,3.600000000E1
