Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
106.93277103000001,64.97854833333334,25.693516666666664,26.59457926337099,44.099999999999994,3.464080572128296,306.489990234375,1.4867648438947314,1.7999999523162842,12.899999618530273,32
107.93277103000001,64.97857333333333,25.693446666666667,26.994613086812805,44.5,3.454815626144409,316.05999755859375,1.4901866656046143,1.899999976158142,13.100000381469727,30
108.93277103000001,64.978595,25.693395000000002,27.094641203128077,44.599999999999994,3.44091796875,319.5400085449219,1.494094860329457,2.0999999046325684,13.800000190734863,31
109.93277103000001,64.978615,25.693326666666668,26.99466989979159,44.5,3.452756643295288,310.6600036621094,1.4979281937400877,2.299999952316284,14.699999809265137,31
110.93277103000001,64.97863833333334,25.693266666666666,26.994700756612005,44.5,3.4301087856292725,314.8500061035156,1.5021223005101458,2.4000000953674316,15.300000190734863,30
111.93277103000001,64.97865499999999,25.693186666666666,26.694727733514398,44.2,3.4558451175689697,306.0899963378906,1.5060724582940286,2.4000000953674316,15.899999618530273,31
112.93277103000001,64.97867833333333,25.693123333333332,26.694759031526203,44.2,3.458418607711792,310.2099914550781,1.5105616454902007,2.4000000953674316,18.399999618530273,32
113.93277103000001,64.978705,25.693051666666666,26.79479470458169,44.3,3.473860263824463,313.5400085449219,1.5169654671200503,2.4000000953674316,18.700000762939453,33
114.93277103000001,64.97874166666666,25.692946666666664,28.094844611243985,45.599999999999994,3.495478630065918,308.57000732421875,1.5203767125125611,2.0999999046325684,12.899999618530273,33
115.93277103000001,64.97876166666667,25.692891666666664,28.094871530005477,45.599999999999994,3.5299649238586426,309.1600036621094,1.525440675169685,2.0999999046325684,13.0,34
116.93277103000001,64.97878666666666,25.692801666666664,28.49490800100878,46.0,3.5340828895568848,302.5199890136719,1.5285464089309173,2.0,12.600000381469727,34
117.93277103000001,64.97879833333333,25.692741666666667,28.494927411959495,46.0,3.557760000228882,294.239990234375,1.5333861859578723,2.0,13.300000190734863,34
118.93277103000001,64.97881666666667,25.692648333333334,29.09495778742901,46.599999999999994,3.5809226036071777,295.8500061035156,1.5370709836818328,1.899999976158142,13.699999809265137,34
119.93277103000001,64.97882833333333,25.692575,29.394978968678508,46.9,3.542318344116211,289.239990234375,1.5418733666331066,2.0999999046325684,14.5,34
120.93277103000001,64.97885,25.692486666666664,29.495011945867986,47.0,3.5454065799713135,291.0799865722656,1.5463795540706275,1.899999976158142,12.199999809265137,34
121.93277103000001,64.97887,25.69240333333333,29.59504262369161,47.099999999999994,3.565480947494507,301.4700012207031,1.5502877216204907,1.899999976158142,12.399999618530273,33
