"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.464806750E-1,-4.879190028E-1,-4.020499885E-1,-2.781780064E-1,6.907185749E-1
5.514911350E-1,-5.399320126E-1,-4.972920120E-1,-2.811189890E-1,7.860367735E-1
5.565015170E-1,-8.166829944E-1,-6.175609827E-1,-1.174589992E-1,1.030606276E0
5.615117480E-1,-6.322330236E-1,-6.189690232E-1,-2.876279950E-1,9.303607426E-1
5.665221070E-1,-4.860770106E-1,-6.840609908E-1,-5.217750072E-1,9.881596316E-1
5.715325680E-1,-4.716120064E-1,-7.865769863E-1,-4.575540125E-1,1.024927761E0
5.765427860E-1,-8.218359947E-1,-8.727170229E-1,-1.853800006E-2,1.198913284E0
5.815531690E-1,-1.267758965E0,-9.536049962E-1,2.334080040E-1,1.603450835E0
5.865633970E-1,-1.116122007E0,-9.646949768E-1,9.422899783E-2,1.478257027E0
5.915738560E-1,-9.207789898E-1,-9.983969927E-1,1.257340014E-1,1.363979304E0
5.965842340E-1,-9.908289909E-1,-9.218450189E-1,4.574249983E-1,1.428557999E0
6.015944650E-1,-1.414855003E0,-7.368199825E-1,6.322309971E-1,1.715935430E0
6.066048420E-1,-1.908771992E0,-8.606190085E-1,8.220649958E-1,2.249414691E0
6.116153040E-1,-2.205746889E0,-9.111620188E-1,1.041668057E0,2.603960043E0
6.166257550E-1,-2.352384090E0,-8.542559743E-1,1.276329994E0,2.809356231E0
6.216359880E-1,-2.460480928E0,-5.535550117E-1,1.455819011E0,2.912009365E0
6.266463520E-1,-2.430715084E0,-2.180349976E-1,1.951825976E0,3.124986356E0
6.316565840E-1,-2.071873903E0,-1.988160014E-1,2.779002905E0,3.472037791E0
6.366669570E-1,-1.886206031E0,-4.062039852E-1,1.911195993E0,2.715777052E0
6.416771900E-1,-1.415168047E0,-3.566440046E-1,1.799505949E0,2.316919767E0
6.466876490E-1,-6.396269798E-1,-2.364000073E-3,2.292361975E0,2.379926823E0
6.516980410E-1,-6.202400103E-2,5.860139728E-1,2.123229027E0,2.203488337E0
6.567082720E-1,1.768330038E-1,1.256912947E0,1.384356022E0,1.878175088E0
6.617186490E-1,4.844579995E-1,1.724688053E0,8.555309772E-1,1.985240964E0
6.667291110E-1,7.838429809E-1,1.974998951E0,7.172099948E-1,2.242637031E0
6.717393390E-1,8.491340280E-1,1.916303039E0,3.722389936E-1,2.128804313E0
