"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.979797690E-1,4.067150056E-1,-5.037900060E-2,8.743000031E-1,9.655856435E-1
5.029899320E-1,2.857579887E-1,3.425000003E-3,1.079450011E0,1.116638565E0
5.079998560E-1,6.639800221E-2,4.385299981E-2,1.184736013E0,1.187405239E0
5.130100080E-1,-4.679400101E-2,9.291899949E-2,1.300780058E0,1.304933860E0
5.180201620E-1,-8.955799788E-2,9.747400135E-2,1.516687989E0,1.522453373E0
5.230302930E-1,-1.365740001E-1,4.112400115E-2,1.813614011E0,1.819213957E0
5.280404470E-1,-1.659179926E-1,-1.530000009E-3,2.024055958E0,2.030845548E0
5.330506010E-1,-2.293139994E-1,-5.353099853E-2,2.209780931E0,2.222292115E0
5.380607450E-1,-2.836380005E-1,-1.247859970E-1,2.373323917E0,2.393467877E0
5.430708240E-1,-3.128849864E-1,-2.029969990E-1,2.550611973E0,2.577736649E0
5.480809750E-1,-4.073069990E-1,-1.900340021E-1,2.634128094E0,2.672198108E0
5.530911390E-1,-5.320709944E-1,-1.149389967E-1,2.670001984E0,2.724925890E0
5.581012930E-1,-6.347529888E-1,-1.208600029E-2,2.533504963E0,2.611839357E0
5.631114370E-1,-6.944950223E-1,1.323550045E-1,2.305697918E0,2.411655878E0
5.681215910E-1,-7.058240175E-1,2.826400101E-1,1.978804946E0,2.119844790E0
5.731317210E-1,-5.728989840E-1,3.973999918E-1,1.635496974E0,1.777917420E0
5.781418750E-1,-3.908619881E-1,4.284740090E-1,1.284827948E0,1.409661635E0
5.831518000E-1,-1.756120026E-1,3.600150049E-1,9.893100262E-1,1.067325961E0
5.881619460E-1,6.923100352E-2,1.800989956E-1,8.097630143E-1,8.324330120E-1
5.931720990E-1,3.118169904E-1,3.836299852E-2,7.741640210E-1,8.354827865E-1
5.981822340E-1,5.246639848E-1,-1.649529934E-1,8.952980042E-1,1.050733222E0
6.031923880E-1,6.718029976E-1,-2.593759894E-1,1.185690045E0,1.387247655E0
6.082025420E-1,7.575520277E-1,-2.173980027E-1,1.527341962E0,1.718697307E0
6.132126910E-1,7.778339982E-1,-1.267029941E-1,1.857151031E0,2.017446240E0
6.182227700E-1,6.805269718E-1,3.165899962E-2,2.158345938E0,2.263310946E0
6.232329420E-1,4.644550085E-1,1.788199991E-1,2.553539038E0,2.601587335E0
6.282430950E-1,1.861999929E-1,2.836689949E-1,3.001853943E0,3.020970975E0
6.332532680E-1,-1.315190047E-1,3.132669926E-1,3.344822884E0,3.362034143E0
6.382634220E-1,-3.108539879E-1,2.337390035E-1,3.618256092E0,3.639098964E0
6.432735660E-1,-4.668290019E-1,1.806879938E-1,3.797823906E0,3.830671467E0
6.482834910E-1,-6.597999930E-1,1.131670028E-1,3.796703100E0,3.855268763E0
6.532936480E-1,-8.599759936E-1,2.654200047E-2,3.565295935E0,3.667642061E0
6.583038020E-1,-9.139260054E-1,-9.375900030E-2,3.188277960E0,3.318006607E0
